card,usage_count,win_count,total_plays,win_percentage
Elite Barbarians,41958,35550,71170,49.95
Ice Wizard,39225,29647,65519,45.25
Inferno Tower,56028,51455,104022,49.47
Elixir Golem,17877,11884,28301,41.99
Battle Healer,11396,5946,15264,38.95
Barbarian Barrel,72113,44209,107876,40.98
Wizard,183580,165465,323456,51.16
X-Bow,11152,9465,20306,46.61
Tombstone,44992,34246,73467,46.61
Valkyrie,233876,218079,421164,51.78
Goblin Cage,53464,37450,86953,43.07
Mini P.E.K.K.A,329402,314263,599618,52.41
Goblin Hut,56075,43943,96562,45.51
Minions,87968,81646,158959,51.36
P.E.K.K.A,94791,75068,155120,48.39
Baby Dragon,154916,136438,270095,50.51
Golden Knight,30596,31031,59717,51.96
Mortar,8101,7163,14024,51.08
Bandit,41429,30740,65990,46.58
Royal Giant,20385,18348,36799,49.86
Arrows,259263,213011,439238,48.5
Freeze,34634,25581,57394,44.57
Bomber,67378,50528,108544,46.55
Goblin Machine,7696,3344,9935,33.66
Inferno Dragon,98415,92066,180532,51.0
Guards,65956,53439,110346,48.43
Goblin Gang,91609,83316,164793,50.56
Bomb Tower,16917,15093,30635,49.27
Skeletons,112727,97986,204149,48.0
Goblinstein,4103,3436,7091,48.46
Hunter,12631,10396,21522,48.3
Mighty Miner,11006,11207,21725,51.59
Royal Ghost,106180,109530,195869,55.92
Mega Knight,164826,172479,315986,54.58
Tornado,34550,16385,46793,35.02
Void,1297,1080,2324,46.47
Ice Golem,23739,18708,43229,43.28
Goblin Barrel,213564,210868,398746,52.88
Berserker,11484,9636,19971,48.25
Princess,65193,68084,127082,53.57
Giant Snowball,45863,33290,75933,43.84
Wall Breakers,40555,36176,73167,49.44
Cannon Cart,2849,1902,3889,48.91
Poison,37187,21255,56780,37.43
The Log,208148,219550,408618,53.73
Boss Bandit,23714,23557,45804,51.43
Rocket,28282,22518,50359,44.71
Three Musketeers,5074,3186,7502,42.47
Ice Spirit,92691,87558,175176,49.98
Cannon,115288,108642,214818,50.57
Dart Goblin,104143,104433,196465,53.16
Archer Queen,8200,6603,14200,46.5
Executioner,32846,34248,63930,53.57
Graveyard,22825,13479,35526,37.94
Witch,257522,257117,475871,54.03
Knight,190768,183698,353938,51.9
Zap,145823,114024,237914,47.93
Giant Skeleton,20927,16268,33349,48.78
Clone,12735,8878,19776,44.89
Skeleton Dragons,25168,18085,39612,45.66
Heal Spirit,8906,4031,11042,36.51
Mother Witch,12337,8329,18452,45.14
Tesla,100155,101900,193522,52.66
Miner,35125,25137,58132,43.24
Ram Rider,27433,24832,49242,50.43
Royal Hogs,31022,24855,53620,46.35
Mirror,12328,11691,23867,48.98
Lumberjack,48106,36866,77151,47.78
Furnace,14638,14634,27504,53.21
Skeleton King,31416,28245,56890,49.65
Electro Dragon,28775,20399,44472,45.87
Battle Ram,72280,55426,118021,46.96
Dark Prince,51451,40281,82715,48.7
Mega Minion,49694,28384,70227,40.42
Bowler,15243,9956,23170,42.97
Sparky,32108,25039,52074,48.08
Rune Giant,1188,937,1969,47.59
Zappies,13821,7887,19214,41.05
Little Prince,9365,9769,17782,54.94
Fireball,210038,192841,387889,49.72
Golem,21049,13195,30210,43.68
Hog Rider,185879,193261,365200,52.92
Goblin Giant,19643,8783,25045,35.07
Barbarian Hut,1517,919,2374,38.71
Night Witch,12446,6817,16511,41.29
Skeleton Barrel,34329,26228,55098,47.6
Rage,47230,33157,73844,44.9
Goblin Drill,4034,2719,6381,42.61
Musketeer,96220,88483,175375,50.45
Spirit Empress,3512,2670,5952,44.86
Electro Spirit,47002,35905,79770,45.01
Lava Hound,9400,3728,11552,32.27
Fire Spirit,20445,15393,34711,44.35
Spear Goblins,71082,52178,116316,44.86
Goblin Demolisher,1962,1157,3008,38.46
Elixir Collector,6679,3535,8815,40.1
Bats,97674,82804,169359,48.89
Archers,94113,93104,173714,53.6
Magic Archer,25900,21660,44289,48.91
Skeleton Army,288878,292121,542100,53.89
Barbarians,104739,92016,183664,50.1
Fisherman,8071,5803,12911,44.95
Rascals,3418,3184,6140,51.86
Lightning,29080,12885,38798,33.21
Flying Machine,15812,7921,20752,38.17
Firecracker,106985,106811,201410,53.03
Earthquake,7959,7061,14321,49.31
Suspicious Bush,4510,4010,8074,49.67
Minion Horde,24553,22246,44693,49.78
Electro Giant,9775,6354,14583,43.57
Goblins,31614,25421,54880,46.32
Balloon,56743,42907,92843,46.21
Electro Wizard,86048,80096,154414,51.87
Prince,103459,88790,179073,49.58
Royal Delivery,12213,11967,23665,50.57
Vines,39369,42937,79878,53.75
Giant,104045,77331,170890,45.25
Royal Recruits,23488,15092,34267,44.04
Goblin Curse,14943,9731,22660,42.94
Phoenix,5141,2272,6761,33.6
Monk,3488,2873,6023,47.7
